text,tag
jitna fan base banaya sab  ,NAG
ye tweet aapne kyu kiya main aapk ,NAG
good that you never batted on suc ,CAG
aaj prove kar rhe ho ki hoto apne baap ke bete ,OAG
dai harbhajan original id le vaada ,NAG
sir aap rehna do har jaye tab gal ,CAG
bhai tune khud toh test khela nah ,CAG
 pajji mai aapki bahot respect karta hun lekin aaj ke din pe ye tweet nahi banta tha pahle jav bhi vira ,CAG
yuvi paaji itni bhi jealousy theek nhi ,CAG
aisi soch hai isiliye ipl se bhi bahar ho gaye ,CAG
indian cricket bahut uppar ja rah ,NAG
check ashwin and ,NAG
aa gaya swad gaali kha ke randu hidden kar isko ,OAG
are bhai isse acha ashwin ko wish ,NAG
pitch only spin k liye bn ,NAG
bishanbedi se pucho harbhajan sahi bowler he kisi ,NAG
kyu apni respect girwa raha hai w ,CAG
kaafi wickets incompete ,NAG
ye modiji ka ground ye din ,NAG
yuvi paaji sensibly tweet karo ya ,CAG
babool ke paid par phool nahi khi ,CAG
lagta he yuvi ke phone se uske papa tweet kar rahe h ,NAG
chutiya ho kya be job ke bare me ,OAG
isko apne team win mei hi mirchi kyon lagg ,NAG
tweet yuvi ki hai lekin shabdh hazeel ke hai ,CAG
dusro ke success ko enjoy karo bh ,CAG
ashwin axar be like are bhai k ,NAG
yuvi sir bhaji sir is not retired ,NAG
yograj tweet kar raha hai kya is ,CAG
aapse ye umid nhi kiye the sir ,CAG
aise pitch sabhi ko ek baar jarur ,NAG
bevakuf insaan arrogance virasat me mili ,OAG
bhajji kosro tweet panvom ,CAG
bhai har ek match usi ground pe ,CAG
ye raha tera harbhajan ur is test ,NAG
mumbai test gaye ,NAG
bhai congratulations karne ka bada achha tarika hai ,CAG
aise kaun congratulation deta hai bhai ,CAG
i agree with u kumble sir to unp ,NAG
skill hona chahiya khelne ka bol toh kohi mrji ,CAG
jaisa khoon waisa dimaag prove k ,OAG
bhai ko cancer hua tha jo bhi bolega acha he bolega ,NAG
ye bat pakistan me jo abhi test ,CAG
yograj logged in toh nahi ,NAG
harbhajan wickets waise pitch koi nahi ban ,CAG
ye kis tarah ka badhai msg hai bhai ,NAG
pitch ki shikayat sirf rotadu log ,OAG
farmers protest k baare me kuch bol do paaji ,CAG
mumbai wale rank turner ko bhul g ,CAG
ab bhai retirement se unko leke a ,CAG
real id se aa ,CAG
rank turner ka wicket nikal do to ,NAG
not harbhajan for sure ,NAG
yograj be like v dhoni ka haath ,NAG
hi yuvraj bai im ur bigg fan of you from ,NAG
bhai tu ja ke afridi ki hi chaat hero hai zero mat ,OAG
bhai apne to kabhi test cricket k ,NAG
bhai maan lo ashwin is better tha ,NAG
tune chakke mare vo bhi ground ,CAG
sharm karlaa thodi bhut punjab da ,CAG
ek baar retire hone ke baad aisa ,CAG
bhajji phone wapas de de yuvi ,CAG
ye to pakka anti national ,CAG
bhai compliment de rahe ho ya bezzati kar rahe ,NAG
bhajji ka agar action unfair nahi ,NAG
yavi pa aap bhi pitch ko criticize kar rhe ,CAG
bhai humne bhaji or kumble ko kha ,NAG
are harbhajan bhai apne twitter se tweet karo na ,NAG
 kab kheloge hardik pandaya ok ho ,NAG
 sir mai bahut achha cricket khelta hu but rupees ki kami ke karan mera career barbaad ho jayega mai y ,NAG
 moje aap ki sapot ki jaroat he ji bade bhai hardik pandiya ji i love ,NAG
 hardik bhai aapko dekh ke lagta nahi ki aap bade bade maaroge lekin jab batting karte ho to kasam ,CAG
 bhaiya ji es bar jarur khelna test me mai bahut aapko pasnd karta hu bhai ji ,NAG
 aap ne the kapil sharma show kyu band ,NAG
 o kpil bhiiji tusi gret ho ji me bhi sharma hu kapil ji main rajasthan se hun main aap ,NAG
 sir aap ko show dekhna hai sal se mera sapna ,NAG
 poor men kaise dekhega sir ,NAG
 jald aayega vats chinta naa karo jab samay aayega apne aap ho jaayega sahi bolu ,NAG
 internet per bhikhari ki tarah katora le kar khada hai ,OAG
 berojgaari pr bhi bol diya karo sir kuch kabhi sarkar ,CAG
 jaldi aao sir sanivar sanby adhura hai aapke soo ke ,NAG
 mast bhai ji aapni inselt kerke hasana kya baat hai ek baar moka mile to i will ,NAG
 kapil sharma show me kuch to naya aane wala ,NAG
 hiii sir aap ke show mai aana ,NAG
 abe itna ghamand ku karne lgta hai jo hai vo sab mitti me mil jayega agr star ho to ,OAG
 kapil bhai chandu sir kaha hai dikhate nahi hai i am actor kabhi moka ,NAG
 sony gold ho jayega fir ,NAG
 show kab chalu ho raha ,NAG
 bhai paaji ap wapas kab aate ho pehle yeh btao kab honge hamare saturday and sunday pehle ,NAG
 kapil bhai aap to amazing ho bhai i wish cas me apse mill pata meri khwais he bhai ple ,NAG
 log to insan ko pura pyar nahi dete or ap dogi ko de pyar rahe ho very good ,NAG
 maim mujhe dance dewane mai dance kar ne ka moka dijiye mai bohot garib hu plz ,NAG
 dhak dhak girl khin ki ,NAG
 iss picture mey to acchi lag rahi ho koi dance programme mey aap ki khusurati ko kya ho jata hai make ,CAG
 nene sir nahi aaye kya photo me ,NAG
 bottles kaise latkai ,NAG
 nisha ji kab ek get together ,NAG
 hum toh smile hi dekhte hi reh gaye neela rang kahan hai ,NAG
 aj blue hai pani pani ,NAG
 mashaa allah raab app ko zindgi sehat tandrosti deeh hamesha muskarati ameen dil se app ke lie duae norway se ,NAG
 mam aapke nikhar me koi fark nahi hai jaise pehle the bilkul waise hi hai aaj bhi aap ,NAG
 herogiri yeh sab karne me nahi memechat pe memes banane me ,OAG
 mujha koi v kaam av nahi meel raha hai sir mujha kaam chahiye koi v kaam chalega mujha d ,NAG
 aap bahut hi sundar hai mam ftlngzgtum  ,NAG
 madhuri ji main aapka bahut bada fan hun aap kya kar sakte hain ,NAG
 hello sir mara name shamshuddin hai may karanatak hubli say bol raha ho sir aap say thoda help hona s ,NAG
 madam kabhi samaj me kya chal rha hai use bhi dekh liya karo verna ye jalwe jisse hai vahi nhi rhe to dikhaogi kisko ,CAG
 kitni pyari lag rahi ho aaj aapki hd pic dekhne ko mil rahi hai hamne bachapan me machis ki ,NAG
 jara bacho ke future ke liye ek ad tweet bhi kardo plij modi_rojgaa ,CAG
oo andhe sahab aaj apko desh ka internal mamla nahi dikha jo puri duniya me trend ho rahi thi ,OAG
sab kuch acha tha but aaj ki jeet me jo stadium ka name tha wo bekar tha ,CAG
waaah sir ggg aapko desh ke berojgar yuwa jo bahut hi achhe tarah se hausala badharahe ha ,CAG
sir vo petrol ka price kam hoga ya nhi modiji se ,NAG
internal matter keh rahe the na us din ghar ki baat ghar mein niptane ki baat karte ho ,CAG
the tag king canada ki raand akshay ,OAG
master kuch to protest kar dain aisi wicket kay bhagwan ko kya mou dikhayen ,CAG
wo to thik hainn prr pitch ki aisi conditions nahi ,NAG
sir bachpan se dekhte aaye kuch baat ab youth pe bhi bol lo modi_job_do  ,CAG
ek time tha jab days me bhi test match khtam nhi ho pata tha or aaj din bhi nhi hue he ,NAG
sir thora internal matter pe bhi bol ki aap bhi bik chuke ho indiatogether ,CAG
ek tweet students ke liye bhi kar do sir inki kya galti h modi_job_do  ,NAG
are o chacha kabhi hum students ke bare me kuchch bole diya karo ,CAG
sir in berojgar students ke liye bhi to bolo aap ko inki problem nahi dikhti modi_rojgar_do  ,NAG
sir ispe bhi tweet kare ye desh ka antarik mudda ,NAG
sachin sahab aap berojgari pr chup q h aise me mahan hasti ko chupi sadhna sobha nahi deta please kuchh boliye ,NAG
av hmlog ke lia v bolia sir ki koe bahar wale ke bolne ka wait kar rahe hain modi_rojgar_do  ,NAG
india against propaganda wale sahab humare desh ki unemployment ke baare mei bhi boliye ,NAG
anand sir apko uber ke sath ola bhi likhna chaiye tha verna bho bura man jayegi ,NAG
yes because jis tarah isro din raat asman chu ra hai vo din door nahi jab india bolega no ola ,NAG
sir aap bhi fekne lage koyi dhang ka logic to laga lete ,CAG
because the puller balraj sahni of do bigha antriksh ,CAG
jitne chorna hai chorr lo tatkal tickets to dalal ko hi milega and 400 ka samjhe ji ,CAG
brazil se yahi ummeed thi uber walo ne bataya isro hi paar lagayega tumharey satellite ko baki sab history hai a ,NAG
kal se rickshaw bhi bhada badha rahe hai petrol ke bhaav ke wajah se mumbai me ,CAG
yahan ghar se office jaane mein roj ka se jyada ka petrol lagta hai aur ye out of country jane ki baat karte ,CAG
uber space mai jati bhi nahi hai sir ,NAG
 do gaj ki duri mans ke jaroori kya yah sab school sabhi sathiyon se pura karva pa raha h please repl ,NAG
 rajasthan mein school college band kar a jaaye anyatha ham corona virus mamare se nahi jit sakte ,NAG
" sir, hotel lakend and raj bagh encroaching fatehsagar lake city dm silent pls ",NAG
 heart felt condolences rip ,NAG
 sir respected ashok gahlot sir you are the observer of kerala for sir do you have any id ,NAG
 no students wants job no job no vote no ,CAG
 prayers respect from pakistan for brave bsf jawans hope their families overcome this pain soon t ,NAG
 mera meri tabiyat bahut kharab hoti ja rehi hai mera pass paisa nhi hai ki illaj kara saku operation ch ,NAG
 congress khud k paer pe kulhaadhi mar leti lelo bhai seat he bihar jaisa risk q lena ruling ,CAG
 zyada time nahi bacha hai inke pass acche din iss baar public dikhayegi qki is baat toh pakistan wala ,OAG
 wo deep sidhu bhi farmers neta tha par pata nahi aaj bjp ka admi kyun ban gaya parali jalane par sark ,CAG
 ye hindustan hai janab yahan kuchh bhi possible hai ,CAG
 yeah bakwaas karne waalo ke account zinda like aapke achcha waalo ke khair choro mujhe kya ,OAG
 mera meri tabiyat bahut kharab hoti ja rehi hai mera pass paisa nhi hai ki illaj kara saku operation ch ,NAG
 jo mofi jivi nahi banega danger main hai ,CAG
 2bhk k liye abhi bhi taras rahi hai bechari ,NAG
 tension na le aisa tweet apne liye bhi kar rahi hongi aap jaldi ,CAG
 na madam paisa churane wali ke ghar raid hui hai kahe fokat me footage kha rhi ho kuchh galat nhi k ,OAG
 funding ho rahi hai bhar ,NAG
 rohini ji sabhi cheezon ko ek hi chashme se dekhne se behatar hai ke bina chashme se dekha jae or agar ,CAG
 mujhe toh india valo ki samaj nhi aati jis lal qille se unki mout ke hukam sunaye jatea thea jis lal ,OAG
 farmers kheto mein hai atankwadi sadako ko rok kar talwaro k sath atank faila rhe hai ,CAG
 26 jan ko jo kiya wo atankwadi jaisa he desh pr hamla kiya tha se jayda jawano ko hurt kiya gaya ,OAG
 aur propaganda chalaa ne waale journalists ko sirf ,CAG
 aap kah rahi hai toh sahi hi hoga hey devi aap to google ho aap hi encyclopedia aap hi wikipedia ,CAG
 modi sarkar ko isliye troll kiya jata hai itna kyo ki aaj ke time me daanaw jyada ho gae hai aur devtao ,CAG
 2bhk wale log ache din ki baat kar rahe hai ,CAG
 oye rouhuni kissan kise bol rahe ho ko hamare tirage ka apmaan 500 se jyaada police walon ko m ,CAG
 yahi trend hai ,NAG
 farmersi ke nam par police walo ke hath kat do or hum atankwadi bhi na bole gzb ji gz ,CAG
 madam isme nayaa kiya ,CAG
 swara meri kuch income nhi h raid kya hogi ,CAG
 kamal haasan is a chutiya ,OAG
 arahul briyani panni swim panni irukkaru and eduthu irukkar ivvalo panniyum thana ,NAG
 jab tak aap log pakistan ka na kha kar is desh ke bare main sochoge tab tak thumari raid hoke ,OAG
 reallyswara bhi hai kya it raids walo ki list mein ,CAG
 ghulam ko bhi raid kar sakte thay ,CAG
 gajendra chauhan did indeed manage to wake up this hindu hindu jaga ke jaunga ,NAG
 masterstroke aap smjhe nhi sahab ye to ek tarika hai logo ko fit rkhne ka ,NAG
 bahut magazmaari karte ho problem ka solution bhi to hona ,CAG
 abhi toh kewal motera stadium badla hai dekhte abhi ,NAG
 waah kya seen hai lekin bhakt to gater m pipe laga k stove jalate hai jhelna to hume padega ,OAG
 well deshseva ke liye yeh bhut kum h agar aur bhi jayda price bada di jaye to janta khush hi ,NAG
 mera pm rupees karenge to bhi india ke log kharidenge kyu ki hamara pm sher h mehangai ko kha ,NAG
 ab to hash tag chalu karna chahiye ab kya kare hum marjayein ,CAG
 achaa woh ka rate bata dalle me tah or woh bhi years me cylinder baki inke baap ka ,OAG
 pradhan mantri gas vasooli ,CAG
 jeenalgala they want to keep you busy use gas use wood jungle mei sukhi lakkaddiyaa lao ,CAG
 modiji thinks for his laga bhi diya aur pata bhi nahin ,CAG
 hamko chahiye tabhi vikas warna vikas possible hi nahi hai ,CAG
 nirmala sitharaman be like ly3e2jcndi  ,NAG
 gaandu pehle kisiko nasheeb hi nahi hota tha gas cylinder ye modi ne diya hai ,OAG
 talhagulbargavi bihar me rupees iske baare me to koi bolta hi ,NAG
 subsidy bhi bata de ,CAG
 ka h bhai saheb without subsidy ,NAG
 godi media me berojgaar youth ki problem par kahi bhi sach nhi dikhaya ab teacher ne unn sab logo ,CAG
 gajab sir hame app jaise bade dil wale pe garv ,NAG
 sahe baaat ispar bhakto ka reaction dekhna it cell aur gobar bkt aate he honge kuttu ke naak se jaida tej hai inke ,OAG
 ku life to tere maalik pappu ki bhi h vrna jinda to ke baal bhi h ,OAG
 haa na it raid bhi hoti hai toh usme bhi jay ko clean chit milegi ,NAG
 intelligent ho toh rahul fool to bhee hai ,CAG
 life bhaagti ghode pe yeh sab jo kunal ko bol rhe ye baithe modi ke laude pe ab bol na maadrcho ,OAG
 life ho toh modi jaisi chaiwala se pm kurshi saans toh darnab guuswamy bhi le hi raha hai ,CAG
 bas tumhra jaisa pig ki tarah na ho khaata v gooh hain rehta v gooh mein hain ,OAG
 life ho to pm jaisi jo school nahi gaya kabhi lakin degrees sare hai wo bhi computer printed name ,CAG
 life ho to kunal kamra bootlicking to saket gokhale bhi kar raha hai ,CAG
 itni bura bhi mat jalao jaha burnol bhi na laga paaye ,NAG
 kuch chutiyon ko abhi isme bhi congress ka hath nazar araha hai ,OAG
 wo abhi ke roop mein 100 years ke baad wo icha dhari amit shah ki terha koi bhi ro ,CAG
 sahi bro waise amish devgan ka comparison sirf ek se ho sakta hai wo hai ,NAG
 life ho to rajushrivastav jaisi varna comedy k name par hag to tu bhi raha hai ,OAG
 comedy ho to kapil sharma jaisi hamaal bechara bhi apni beijjati karwa ke jee raha ,CAG
 life ho toh ravis kumar jaisi dalali to amish devgan bhi kar leta ,CAG
 haan rahul gandhi to hogwarts se degree lekar aaya hai pm banna hai ,CAG
 life ho to kunal kamra gareeb hone ki acting to kanhaiya kumar bhi karta hai ,CAG
 amish devegan ke peeche to puri govt hai phir kiyun ,NAG
 same way life ho toh swara jo ungali se kaam chala rahi hai aur tere jaise bhadwe kela ,OAG
 comedian ho to irajusrivastava kunal kamra to hug raha hai banbbc ,OAG
 life ho to kangna jaisi warna mutthi to kunal kamra bhi maar hi raha hai ,OAG
 ye jo tum inhe tag nahi karte ho isi ko kahte hai darr aur ye darr zaroori hai ,CAG
 life ho to kamra jaisi to lakardbagha bhi hai ,OAG
 okay rahul gandhi ke dahine ,CAG
 don t worry tere ghar bi raid hoga waise nahi hoga tere pass kuch hai nahi raid hone se kara jata hai ,CAG
 life ho toh jaisi bhouk toh bhi raha hai ,OAG
 abychackongp sir bhagwan ek kutte ko jyada izzat deta amishdevgan ko woh bhi nahi ,OAG
 life ho to kangana ranaut warna sanjay raut ke tatte to bhi chaat raha ,OAG
 life ho toh kunal gandmare jaisi gend toh apni munawwar faruqui bhi marwa raha ,OAG
 stamina ho kunal kamra jitna bhi gali do koi asar nai gali proof body ,OAG
 amit shah jay shah aur godi media ko tag kar ,NAG
 lekin ki life ka kya aur vo bhi jiska name ho aur shakal bhi aisi ho usko bas kat te ,CAG
 gaanv ho to sir marwa toh kunal kamra bhi raha hai e4ipw84icv  ,OAG
 life ho tho modi pm tho rahul bhi banna chatha hai ,CAG
 life ho toh mukesh ambani saans toh elon musk bhi le hi raha hai ,NAG
 saans to kutta bhi le rhaa you know what i mean in this industry there are many amish ek se bdhke ke ek chaatukaar ,OAG
 life ho to kisi badhiya comedian jaisi zinda to kunal kamra ke bhi hain ,CAG
 science and technology ,NAG
 apni maa ko bhejo amit shah ps jay saha mil jayega maa ni to apni behn ko bhej dena tera bhagna ja ,OAG
 life ho toh uddhav jaisi naa kaam kaa naa kaaj kaa phir bhi mazze le raha ,CAG
 life ho toh kunal kamra stand-up toh humaare pm bhi kar hi rahe hai ,CAG
 life ho toh  saans tohbhi le hi raha hai ,CAG
 uske baap ne mehnat ki hai tere wale ne jo ek baar kari wo bhi waste ,OAG
 life ho to jaisi saans to bhi le rha ,CAG
 life ho toh kamra jaisi talwe se kai toh ho raha rahi hogi ek no ke ,OAG
 comedy ho to kapil sharma jaisi warna tatti to kamra kar hi rha ,OAG
 and amish devgan be like kamra ji thoda toh maryiada rkhiya hamari phati huyi izaat ki ,OAG
 chup lavde mirzapur ka dialogue martha ,OAG
 life ho toh jay shah jaisi zinda toh amish devgan bhi ,CAG
 kuch bhi kar lo amish bhai kay bare may kuch nai bolna bechara ruth gaya toh humaray entertainment kay vande ho jayegay ,CAG
 life ho toh kunal bhadwa ungali toh swara bhaskar bhi karti hai ,OAG
 life ho toh jay shah jaisi life toh amish devgan ke baal bhi ,CAG
 comedian ho toh raju srivastava jaisa try to kamra bhi kar raha hai ,CAG
 life ho to swara ke ungali ke warna jinda to tu bhi hai ,OAG
 life ho toh kunal kamra zaleel toh swara bhaskar bhi hoti hain ,OAG
 life ho to rahul gandhi jaisi comedy to tu bhi kar leta hai ,CAG
 life ho to kamra jaisi wrna stand up to bhi kar rha hai ,CAG
 kunal bhai aap bhi na standup hoke bhakto ki le rahi ho jhuka k lo bhakto ko acha ,CAG
 life ho to years ke unemployed rahul jesi saans toh kunal kutta kamra bhi le hi raha ,OAG
 kyon modiji ka name pehale list mey ,NAG
 life ho toh modi jaisi phekta toh jasprit bumrah bhi hai ,CAG
 life ho tho pragya thakur jaisi unke victims tho saans bhi nahi le rahe ,NAG
 life ho toh rahul gandhi saans toh rssurjewala bhi le hi rhe ,CAG
 life ho to kamra me to kutta bhi chaat ta hai ,OAG
 amishdevgan amishdevgan b and d sir dekhiye toh yahan thodi bhi maryada hi nahi ,NAG
 comedian ho to raju srivastava jaisi kunal kamra to aaj bhi rahul ke niche jhui raha hai ,CAG
 life ho to modi ji saans toh rahul gandhi bhi le hi rha ,NAG
 life ho toh kunal kamra jaisi jhaatu toh bhi ,OAG
 bhai teri bhi to life sahi hai tu sirf modi ka nam leke aj itna famous ho gaya hai nai to aise to tere jokes pe koi na ,OAG
 zindgi ho to raju shrivastava jaise comedy to bhi kar rha ,CAG
 life ho toh kunal kamra saans toh dhruv rathee bhi le hi raha hai ,CAG
 tumhari life bhi badhiya hai waise p7ifxlszuo  ,NAG
 life ho to rahul gandhi jaisi zinda to jhaant ka baal kunal bhi ,OAG
 bhai i love u ,NAG
 bhai jay shah se aisi koi khundak nhi mujhe mera baap home minister hota toh usse times jyada aage ,CAG
 modi_jawab_do jawab do pradhanmantri ji kya naale me se gas nikal rahe ho ,OAG
 kunal tune vaccination karwaya nahi to jab tu sath nahi de raha to duron ko kyo gyan de raha ,CAG
 ek baar try karke dekho up main entry ,CAG
 joker ko bahut dino se kahi dikha nahi ,OAG
 uppolice please iss sajjan ko takleef se door karein ,CAG
 meerut me aao kabhi goli marne ke baad bhi sir faad dete h yaha ,OAG
 police ka kam khali neta logo ki dallali karna reh gaya ,OAG
 kabi rajasthan v dekh lia kar muje pata hi oh ghar teray mousa ka hi ,OAG
 munnawar ko abhi darshan diye law and order ke ka number bhi jald ,NAG
 wapis shit kar kuchh kaam dhanda kar kab tak apne aap ko gandi publicity kar ke bechega ug ,OAG
 jangal raaj mai order ,CAG
 also a up girl and i m very afraid to go out for any work jab kabbhi ghar ke bhar nikalti hu ,NAG
 modi sarkar ka vaar patrol gas ke ,CAG
 itna english to yogi ko bhi nhi aati hai ,CAG
 law and order sirf dissent k liye h up m baki dalti to insaan hi nahi ,CAG
 jb cmm khi aur state mai dhyan degi to aur kya ,CAG
 up ke law and order ka haal inn se jaan https:  t ,CAG
 kunal kamra ke comedy pe comedy bhi sharma jaata hai ,OAG
 modi_jawab_do support kunal kamra modi_jawab_do am ,NAG
 kya joke mara hai ,CAG
 yeh maryada ki baat aapke mukh meun shobha nahi deti hai aap wo hain jinke upar supreme court ka apm ,CAG
 hai tho ek kaam kar saktha decently iska chain motera stadium ke dho end me bandh ,CAG
 like pane ke liye tu kutta bhi banega sahi hai chutya ,OAG
 rahul gandhi half pant vo bhi khaki pahan hi nahi sakta ,CAG
 bhai tuje badi khushi hui photo dekh ,NAG
 suar ko kutta dikha diya please thodi mariyada ,OAG
 ye sach me galat kutta bhut wafadaar hot ,OAG
 jab kutta rakh liya hai kunal kamra name ka to mariyada rakhne ki jaroorat nahi ,OAG
 thodi mariyada rakhiye kutte ki insult na kariye ,OAG
 dekha bhai dekha samajh me aya aisi bhi naukari h market me 7oomepqus8  ,NAG
 ye kis ko kah rahe cartoon banne wale ko ya ,OAG
 ignore karo bro aur lage ,NAG
 shubh shubh bolo kahi hindutva k name pe ban na karde ,CAG
 no hope y whan bhi years ka rona roeinge jwano ko shaheed karake fir oppo vivo ko sponsorshi ,OAG
 bhai kuch kam dham bhi bacha ki nhi modi ji ne bilkul free kar diye ,OAG
 bhai fir se jail na ho ,NAG
 aadhaar card link karwana padega nostalgic wait ,CAG
 no tere jaise chut marike to iss desh me bhi allowed nahi phir bhi tuje bhik me rakha ,OAG
 adhe se zada jahil tumari bat ka intention smjhe hi nhi bhai khair sahi kaha ,CAG
 jab tu jail me tha srkians ne boht support kia tha girgit ki tarah rang badalta he chutiya canada ki ,OAG
 tujhe bhi apni band bajwani he kia be canada ki raand akshay bhaand india ki shaan shahrukh khan qfjunsxfyo  ,OAG
 kyu bhai abhi abhi akkians ko worldwide pel k aaye h tu kya beech me aa rha h trend karwana h kya tujhe bhi ,OAG
 attention pane ki kiya kch bhi ,CAG
 bhai abhi jail se aya hai kyu uchak raha hai thund rakh ,OAG
 ye joke jail mein socha tha kya bohot purana ,CAG
 jab tu jail me tha tab srkians hi the jo tera support kar rahe the jail se aate hi zyada chul machi hai kua g fadane ,OAG
 ek time tha jab tere ko support karta tha pr caa padhne ke baad tu fuddu lagne lag gya bina baat ke logo ko bhadka raha hai ,OAG
 ye stadium me chai wala ,CAG
 agr shahrukh watchman ko kamal ka phul de to sayad entry ho skti hai ,CAG
 beta munawar modi bhakto n kam pela hoga srk fans se mat bhidio vo pelte waqt bilkul b nhi sochte ki k ,CAG
 watch man amit shah hua to pakka caa nrc ke hisab se jaane ,CAG
 ha bas bhasad na kare pehle ki trh nai to log bolenge minority mai tha isliye nikal ,OAG
this baasitird said marne ke baad jalaate hain ,OAG
keep up the good work baki chutiye hr jagah ,OAG
kashmir me jo hindu ko mar mar ke bhagaya tab bhi tera agenda tha kuch bhi kar lo aab desh ,CAG
bhagwan ne vani di hai kuch achhe bolne union ne freedom di hai arm se life bitane ka ,CAG
hindu devi devta pe joke banaya hai isliye jail hui hai muhammad prophet pe joke karta to aa ,CAG
now think about sadhvi pragya thakur ,CAG
kanoon ka expert na hote hue bhi mein bata sakta hun ki isne mere relgion ke bare mein apmanja ,CAG
years toh jail me rakhna hi chahiye tha iss kutte ko ,OAG
gujarati ka sad and yet beautifully motivational loha hi loha ko maar sakatha ,NAG
jail me jhaadu liya isiliye mor banke nikla ,OAG
imagine if you were hindu and talking against islam not days but woh woh kutta jo ,OAG
are beta islam p joke bana hm bhi hase jara tab barkha dutta jaise log nazar nhi ,OAG
tu munnawar faruqi hai isliye bachh gaya agar tu manish hota na aur kisi peaceful religion k ,CAG
panauti will strike again beware munawar faruqui ,OAG
barkha iske saath aur logo ko jail me band kiya hey abhi bhi shayad band hi hey pata hey t ,NAG
baaki hindu log abhi bhi jail madhye hai ,NAG
aap apna kaam karo government apana kaam karegi ,NAG
iss kutte ko phir se dalo jail mai aur tu burkha dalali chor ke kuch journalism seekh ,OAG
agar isne kuchh nhi kiya hai aur sirf comedy ki hai to fir aisi hi comedy apne majhab ke uper ,CAG
barkha kabhi rinku sharma ki family ka interview liya ya abhi bhi nira radia funding kar ,CAG
 bdutt suhasinih themojostory aur din karna chahiye tha godhra is fun for ,CAG
barkha dutt playing a psychiatrist bhai sahab farooqi line pe aagaya hai ,CAG
khud ki self respect ki chinta hai jin karsevaks ki maut ka mazak udaya logon ke dhar ,OAG
aunty matlab log sahi hi gaali dete hain aapko matlab had hoti hain doglipanti ki ,OAG
jihadi aur left librandus ko hi dard hai baki aam janta free ,CAG
tumhare pass freedom of speech hai tabhi toh itna bakwas kar rahi ho twitter pe ,OAG
dar k mahol hai aunty aap niklo ,OAG
jisko dekho sab chahiye kabhi to karna seekho respect?!  ,CAG
kyaa kya bol rahi ho hai re zalim freedom house report abb to duniya main hamara hukka pani ban ,CAG
kuch bhi kar lo didi main toh vote modi ko hi dunga ,NAG
abhi toh ek aur term aana ,NAG
india ke har gali maholle mai aise ngo bhare pade hai ,CAG
asadowaisi kisi bakchodiye ne likhi hogi ye report ,OAG
tukde tukde gang walli apne bhai jaan ke saath valentine day me cake kaat rahi is quom sab chaltha ,OAG
yesa freedom khoj rahi https:  t ,CAG
behen tum ke election ke baad rahogi na tumhara depression badhta hi jaa raha ,CAG
kahan kahan se reports doondh kar latey hain ye log ,CAG
is report ko wahin daal lo jahan gujrat files ko dala hai logon ,CAG
wo agar target kar raha tha to tu kya kar rahi hai mc ,OAG
sir kta ke sahid hone me shumar hone ki koshis ,CAG
