text,tag
 apne abhitak twitter kyun nahi ,NAG
 bhagwaan kare un kutto ko nark me bhi jagah na mile god bless kangana mam ,OAG
 unki pics dekhke e jal gayi ,NAG
 such bolne ka dard nasa gang ka nasa utarna baki maharashtra ke logo inko sabak sikhayenge ,CAG
 bhai mujhe bhi india team mein aana hai kaise main ,NAG
 bai cheating ke b had hoti hai ,CAG
 sharam nahe aati kya match jaisey day k tea k baed start huva aesa wicket banatey ho aur khud ko champion boltey ho ,CAG
 virat bhaiya dusri team dar jayenge tour pe nahi aengi ase hi khelte rahe to ,NAG
 kem gujrati bolta aavdi gai saheb thodi thodi gujarat ma aapnu swagat saheb all the best ,NAG
 sar mene ap ki mom ke nam pe letter bheja tha kiya wo letter ap tak pahuch ke ,NAG
 ab to cricket me vo maja nahi aata pahle jo bhagvaan or virendersehwag paji ki jodi ka dekhne 76c8wpm311  ,NAG
 stadium ka name kya badla yearsi pich bhi fenkoo bey imaaan ho ,CAG
 ghatiya pitch banake match jetke kya sabit karna chahte ,CAG
 herogiri ye sab karne me memechar pe memes banane me ,CAG
 ham marte dam tak virat bhaiya ka fan rahenge love u brand bhaiya ,NAG
 jab tak mere virat bhaiya khelenge tab tak har desh se jitenge chahe duniya ka koi bhi team ho tqkxcdzrre  ,NAG
 tumne kuch nhi khrb pitch ne kiya jo kiya ,NAG
 congratulations virat bhai but i have questions kaya aap ko lagata hai ki ahamadabad ki speech kharab ody7imqzoz  ,NAG
 virat yeh bol raha hain ke india performance ki wajase nahi pitch ke wajse jita jalkokde kuch reply ,NAG
 sandaer jet tem india ke bhuth badhi ,NAG
 virat bhai aapka form kyon nahin chal raha h ,NAG
 india ko ase hi jeet milte ,NAG
 bahut garv hai modi ji par or india team ko bahut bahut ,NAG
 test match kaise bhi jeet lo ,NAG
 ye tho bus teailer hai picture abi baaki hai ,NAG
 hello sir mara name shamshuddin hai may karanatak hubli say bol raha ho sir aap say thoda help hona ,NAG
 congratulations sir ji or jo ye khe ki pitch esi he to pitch dono team k liye same thi india kuch bombay khelne nai gai ,NAG
 century maro bhut din ho ,NAG
 badhai ho virat state mein number van per ,NAG
 rohit shrma ki pic bhi dal deta bhai usne kya bigada hai apka rohit shrma ki vajah se dono innings m lil1sl1hsx  ,NAG
 bhai koi or sports bhi khelne do india ,NAG
 ek dam vakbas pich thi tuje kya pata test cricket k kya manee hote ,CAG
 bhai tu bhi match me khel raha ,NAG
 sahi hai bhai fast pitch bhi banwao kab tak ,NAG
 tum sirf narendra modi stadium mey pic uthao students ka problem ke liye kaun bolega shame virat ,CAG
 aap batting pe dhyan lagao sir ye photo wagarah hum daal ,NAG
 koi hatters hai jo captaincy chahata ,NAG
 century kab lagaoge bhai bolo bhai ,NAG
 youth k liye kuch khe ,NAG
 isse badiya hamara yaha ka mitti ka pitch h ,NAG
 agla match road pe hi khel lena usme bhi spin bahot jyada hota he ground ki kya jarurat ,NAG
 vada-paav aka rohit ko bhi kabhi apne photos me saath le liya hard working hai banda match hai ,NAG
sambhal ja jao maine abhi gaya turant bhagte huve jao sunkar or share karke aao ,NAG
 as we know that modi hai to mumkin jaisa socha tha vaisa hi esse achi pitch to bangladesh ki ,NAG
 woh yuvi paaji toh kuch pitch ke baare mei gyan de rahe ,NAG
 yaar pitch to thek sa banva lete ,NAG
 jaldi thi root ko kankariya lack dekhne ki uski vajah chhe akshar patel ne match din me niptaliya alxyhrfkuv  ,NAG
 kabhi berojgaar yuva ke bare me bhi ek tweet karo kya yah antrik mamala nhi hai modi_job_do  ,NAG
 bhai ab toh cricketers bhi accept nahi kar rahe ki pitch bhot bekar thi batting ke liye 30 wickets me vaoc1peln0  ,NAG
 sur hamari help kar di jiye mai garib hu aap ka chota sa fain hu kholi ,NAG
 har baar tujhe captain bnata hu kab chalega ,NAG
 yahi log hai sala jo india loose karta hai match to sab gali dene lagta hai or jita to turant sir pr ,CAG
 ham berojgaron ke bare me bhi kuchh likh do jo aap ko celibrity banaye hai aap bhi tweet kar ,NAG
 kon se jyada runs ,NAG
 maza a gya hum ab final khelne se ek kadam door ,NAG
 indeed superse bhai ,NAG
 students ke hit me bhi kuchh bol dijiye sir ,NAG
 sir kbhi students ki tarf bhi dekho kya haalat h ,NAG
 badhaiyaan virat bhai apko or puri team ko agle match me or achha karna ,NAG
 lundia final me ponchny k lye kuch bhi kar skta ha aur final me ponchny k bad bheegy bili ban k har jaty ha bechare ,OAG
 hatt bhot darte ho aap log achi wickets pe jeeto maza bhi aye aur competitive bhi ,CAG
 bhai century kab aaegi ,NAG
 bhai pitch ko bhi to shabaashi do ,NAG
 england ki ma chod diye bhaiya ji ,OAG
 congratulations chikoo bhai ,NAG
 batting m bhi karlo ,NAG
 kabhi kabhi rohit ki batting ki photo share ,NAG
 test match mein pujara aur rahane ko rest de aur unki jagah kl rahul aur hardik pandya ko mauka de ravishastriofc ,NAG
 bhaen ke l har photo me apni dalna jaruri h jaise ye tumhari shasi ka album h atleast jinhone ,OAG
 pitch ne bacha liya nhi to ye match bhi gaya tha or captaincy ,NAG
 bhai century bana le ,NAG
 kabhi bhi kardo bhai tumare blind fans rote mujhse nahi dekhe jate yaha pe unpe taras ,NAG
 abhi ek bandha ayega aur bolega pitch towards home ,NAG
 vamika ke papa aur hamare kohli bhaiya ko bohot bohot badhai ,NAG
 bhai vo saab theek hi hai runs bhi ,NAG
 bas century chiye ab aur kuch ,NAG
 tere se toh ab ummid bhi nahi runs bhi maar de ,CAG
 bas test mein ek century mar dena sal se jyada hogaye century dekhe hue ,NAG
 batting bhi kar lo thoda ache se kuch sharam baaki h ,CAG
 ab thode runs bhi maar de ,NAG
 ye hamara system hai khalistan ko support karnewale ke liye kuch nai bolne wala kutta dulljit free ghum raha ,OAG
 maharashtra govt hmmm bobdu u forgot the names given to thm fir ye to gutter jaisa muh kholne se phel ,OAG
 ek sanatani hone ke naate aapko support karenge or sabhi ko bhi karna chahiye india mata ki ,NAG
 gutter soch wali hathras mein eve teasing k case mein larke ne larki k father ki goli maar kar murd ,OAG
" inter fail twitter ji, jaisi kerni waisi bherni ab socho ki tumney rhea chakaraborty ko ",NAG
 fake bhakto ki amma fwo4fo2hb0  ,OAG
 abhi police jail me kutai karegi sab hawa nikal ,CAG
 inter fail twitter kehtey hain ki karmoin ka phal samney aata hai so tumharey samney ,NAG
 behuda aur bematlab tweets karogi ya jaise karm karogi badle ma vaisa hi ,CAG
 madam g chacha ko kaam nai hai koi busy without zaara pucche koi pehle kaun si izzat thi hum ,CAG
 jail jaaney tayyar raho chusandiyo ki ,OAG
 kya khati ho aap pure din jo karti ho wo to bolti ho mgr jo karti nhi jaise farmers ko support wo kyu bol rhi ho ,NAG
 more more more power to u lady ek naari par ,NAG
 kitne beshram kutte hai kangna nhi pasand to block kar do par nhi idhar aakar bhokna hi hai khalistani kutto ,OAG
 pagal queen akeli tu nhi hain duniyan mein sabhi ko koyi na koyi misibat hoti hain fareed ji ne ,CAG
 javed chacha ke umra ho chali h unke diye ka tel khatm ho gya batti jal rahi h ignore maaro ,NAG
 aunty tu kitni padhi likhi hai ye bool pehle jaab tu gawar hi hai too phir haar topic ke upar ,CAG
 thoda thanda hojao kit na bhi karlo tum godmother nai banpaogi jaansi ki rani nai ban ,CAG
 toolkit mein deshdrohi jaise koi baat samne nahi aayi court nzylkvnygq  ,NAG
 aaj party hogi ndtv par ,NAG
 justice delayed but etna bada hadsa ho lekin kisi ne kuch nehi ek sal ki la ,NAG
 rahul gandhi ji bhi abhi tak jail nahi gaye itane case chal rahe unpe sab bhagya ka khel ,NAG
 tum chutiya ho tumhari baat ko hm serious nahi lete bsdk tum log etna leftist ho ke tumhare right ,OAG
 arre mc uske tareekh k speech se pehle tum jaise gaddaron ne jo speech diya ki sarak par aa jao trum ,OAG
 uc privilege hai bhai ,NAG
  sir kya aap mere panchayat ka kuch madar kar sakte hai 3tziysj1kar  ,NAG
  sonu shar garib ko bhi help chahiye me ,NAG
  sir mujhe ias ki tayari karni hai sir muchhe kuch help kar digiye sir and ,NAG
   dauthers ka school me admission karvana hai private school hai sir ghar ke pass hai dau ,NAG
   hello sir mai anupriya kumari bihar ki rahne wali hu sir mai bca kar rahi hu aur mujhe laptop k ,NAG
  please bhai hum ku thoda madat kar do hum bohat majboor hain hum ku paisa nahi chahea sif surgery karvad ,NAG
  sir help me please meri beti ki shaadi hai kuch dino me aur mere pass kuch bhi nahi hai please meri madad ,NAG
  sir mere maa dil ma chad ha es gariv ke liye help sir uyes130f5e  ,NAG
 kabhi to hum youth k bare me bhi sahi socho bina babuo k aap des ka koi bhi vikash nahi kar sakte ,NAG
 indians ko dusre logo ki jarurat nahi h modiji k aao hamare yaha invest karo aap jo sab d ,NAG
 jai ko shree ram wha mankeya aap ke soch sewa ka name may bakthey ka nam ,NAG
 invest like fraud company pnbhfl customer ka khoon choosne me mahir aatmanirbhar au ,CAG
 naukari har years sudhar spineless ,NAG
 is ko kya diya covid dawa is jaise desh bech ne wale jumle baj feku ko our uske chatu karo ,CAG
 sarkar ke saath problem yeh hai ki desh mein problems bahut jyada ,CAG
 so the spinner is delivering bouncers upar se ja raha hai kisi ko samaj me nahi aa raha be brave elaborate ,NAG
 tum ignore karo bhai ye chaubey chutiya hai life jhant ho gayi hai iski chatte chatte zyada bol ,OAG
 ye  pagla gayi hai ye odi me aram ka kya matter hai fome me hote hue bhi enko ,CAG
 sir odi series khelena please abhi khelo mauka ha jab chuti milagi toh ho sakta h ,NAG
 kuldeep se toh fielding hi karvayi jaati sahi hai ,NAG
 rohit hain to mamla super hit hain ,NAG
 scampering kyu likha bhaiya sidha bakchodi likhte ,CAG
 odi khelo iss years ek aur aayega ,NAG
 bhai kitni baar delete karoge ,NAG
 abe yrr ye sir ne pichhle match ko troll karte hue likha h rohit bhai ,NAG
 elegance__45 imkuldeep18 jaldi se ss lelo rohit bhai delete karne ke ,NAG
 bhai pehle wale deshi version tha ye scampering ke liye to google karenge kai ,NAG
 kya smile hai rohit bhai aapka masala dena toh nahi ,NAG
 koi hot movie banaa priyanka ,NAG
 ye naak ka kya haal kar liya madam khud apne looks se itni insecure ho aur public ko gyaan deti rehti ho ,CAG
 herogiri ye sab karne me memechat par meme banane me ,CAG
 itni ameer ho baji kabhi desi dress bhi pehen liya ,CAG
 mujha koi v kaam av nahi meel raha hai sir mujha kaam chahiye koi v kaam chalega mujha ,NAG
 platform ticket hum to ke ticket ko leke bhi bar sochte hai ,NAG
 ek aur nepotism ka product launch hone jaa rha ,CAG
 srk sare actors esliye successful horhe h ki ye apko apna guru ,NAG
 aap sirf apne dost aur star kids ke poster lgao kyoki kl ko unki jroorat ,NAG
 nepokids ko kitni easy se film milta hai kitna talented outsider young ,CAG
 kya khub kaha hai kisi ne jal gayi per bal nahi star kids ko ,NAG
 petrol paar canadian ka tweet kaha hai j6rwzy1j0u  ,NAG
 farmers k liye to muh se ek word nahi yahan dekho kaise po ,CAG
 sir sooryavansi ki release date bta do yaar kab aa rahi hai ,NAG
 or flop actor aa chuka hai bhai log ,NAG
 arre sir khatro ke khiladi union trend pe ,NAG
 kis kis ko nayee movie launch hote hi sushant singh rajput ka chehra dikha ,NAG
 jaise bolte hai na ki ye china ka maal hai chala to chand tak warna raat ,CAG
 sethji aur anna ek aur movie karlo ,NAG
 socha na tha aap bhi nepotism ko support aur endorse karenge ,CAG
 twitter par to tadap chahi waah india ek aur ayesha ki jahnum se ri ,CAG
 nautanki deshbhakt wo petrol price hike pe firse dialogue nahi marega ,CAG
" mtlb yeh bhi chakki se badi hit de dega jaise ranveer, shahid aur ",NAG
 petrol aur diesel ke bare me bhi kuch bola itna bad gaya hai phele to bahu ,NAG
 lo bhaiya ye hai nepotism bilkul thik hi kaha gya hai ye log sirf apne ,NAG
 sir my name is harish joshi from uttarakhand bageshwar sir m bed karna ,NAG
 kabhi kisi din aisa bhi kar do ki hum sooryavanshi ki news sun le ,NAG
 abe tu canada ki kuch stars ko promote kar ,NAG
 car petrol se chala rhe ho ab ya pani se ,NAG
 akshaykumar sir ji ab apni sooryavanshi bhi announce kar do ,NAG
 ladki ke peeche mu kyu chupaya hai poster ,CAG
 sooryavanshi ka date bhi announced kar dijiye na akshaykumar sir please ,NAG
 ur sir ji ab modi ka interview nhi karo desh ke yuva ki baat nhi karoge rojg ,NAG
 sir dusre ki movie announcement karte ho apni bhi kar dijiye sooryvanshi ,NAG
 bhaijaan mai h r malik belongs from w b bhaijaan mere pass apna likha hua ,NAG
 sir aaj sooryavanshi ke trailer ko ek years ho gya film kab aayegi coyaftvuve  ,NAG
 yeh lo abhi nepotism ke dabate ,NAG
 kabhi khud ki film ka v soch lo pajj sooryavanshi ka kya ,NAG
 sooryavanshi name ki koi film aapne ki thi sir bhool gye ,NAG
 aaj malum huaa ye dialog aap apne fans ke liye isme dale aisa mat kijiy ,NAG
 sir ek sooryavanshi ka bhi announcement kardete toh maza aa jata ,NAG
 one more love story kuch aur milta nhi kyaa youth ke dimag me ku gobar bahar rahe ,OAG
 nepotism ka ek or namuna paish ho raha hai ,CAG
 apni movie kab laa rahe ho ,NAG
 sir puchna to bekaar hai par puch leta mai ek soldier hu writing me ,NAG
 sooryavanshi ka bhi update do guruji v0hxplxwuo  ,NAG
 mccauley se puchh lena pappu party k prakhar buddhi neta christians ka pahla school kis sadi m ,CAG
 sir maine bahut suna tha bajurgon se ke log apni ijjat apne haathon se kho dete hai par apke tweet ,NAG
 bhai dil jeet liya ai ka use kar k aisa lg rha hai bhagat singh abhi bol padenge true leader ,NAG
 bhai mein sardar bhagat singh ko zinda dekna chahta tha app ne meri wish poori kar di chae ai se hi sahi thanks ,NAG
 can this be done with chhatrapati shivaji pic ,NAG
 maafi maangte hue veer sawarkar ki pic par aisa kya galat kiya hai ,NAG
 lost in that smile man kara ki dekhta hi ,NAG
 ye kaise banate hai koi app hai ,NAG
 tera baap hai graph dekhna hai antinio maino ka dekh kis tarah nachaniya se sari me aa gai ,OAG
 dollar rate bhi bata dete se ,NAG
 tum graph share karo bus phir bolte ho evm hack ho gaya kaam kar le jawani ke ,CAG
 gdp k alawa bhi chheeje hai uspar bhi dhyan dijiye rapes murders badh rhe hai kam nhi ho rhe ,CAG
 tere pichwade ki jalan to ab burnol bhi bujha nahi sakta ,OAG
 yeh tho main se sence wali baat ,NAG
 jab opposition pm ki beard jaise cheez pe comment karne lage to samjh lo lotna frustations se bhare h ,NAG
 ye samaj ki wo aunty jiska kaam bs dusro ke ghar main peek a boo karna rehta or khud ke ghar ma ,NAG
 congress ab dadhi ki length naap ne me lagi hai hadd ,NAG
 haad hai gadhe koo mudda nahi mil raha to beard ki size pe hi politics chalu kar di yeh level hai chamcho ka ,CAG
 shashi ji aap to bahut romantic kisam ki insan ,NAG
 yaar daadhi toh march ke baad badhana shuru kiya hai ,NAG
 bhago mat chuppi mat sadho ignore mat karo students sawal pooch rhe h jawab do ye whi students ,NAG
 bhai tere pass koi kaam dhanda to raha nahi hai tu apna settings wala kaam chaalu rakh life ko enjoy ,CAG
 yeh tau babaji ban desh ki propertie bhi name karwa li babaji sanyaas kyo nahi lete sahi baat hai ,CAG
 ban ne ke der hai ab tab gift bhi milega ,NAG
 shampoo boy paagal ho geya ,CAG
 kisi ne bar dancer ka graf bna diyo to tum chutiyo ki ftt k hath me aa ,OAG
 aa teri gaan pe sunanda ka graphic illustration draw karte hai ,CAG
 yum to humne lakh gadhe dekhe hai tumsa nahi ,CAG
 thu tension mat lo modi g ko vote gdp ke liye nahi desh ko jai shree ram 370 aur china ke p ,NAG
 aur v koi mudda hai tumlogo ke paas or aisw sab nalle ho congress me jinko pm ki dadhi se v problem hai had hai bha ,CAG
 priyanka ji agar tea industry ka epconomical survey kar ke matured batain karti toh uchit hota vote ,NAG
 tujhe bangla chunav result ke din pata chal jayega tharki ,CAG
 ab kuch mahan log bolenge ki ye desh ko age lejane me itne busy hai ki time nahi hai kuch or karne k ,NAG
 kamaalrkhan waah re chuthiye itani halki ho gayi soch ki tu ab body pe majak udane laga vaise ,CAG
 haramio ke pass ek bullet proof jacket ke aur ek ek rafael ke bhi rupees nahi hote sirf loot ,OAG
 aap bhi ek baar modi ji se mil kya pata apki bhi growth ho ,NAG
 waah kyaa kiya hai comparison bhi sharma jaaye beard and graph aur bolte hai inko troll kyu karte hai ,NAG
 raga ki ghat ti hui buddhi ka graph hai ,CAG
 poor sunanda pushkar was killed by some monster bhagwan kare keede pade us kutte kamine ko jisne marwaya use ,OAG
 ab samjh aya aap k upper itni ladkiya kyo marti hai aap ka sense of humor bhi mast hai vaise sha ,NAG
 indian politics me tumhari yehi aukaat hai tharoor miya lage raho election tum ya tumhara baap ,CAG
 ye hai hamare chomu neta ka graph ,CAG
 sab theek hai ye bata biwi ka murder kyo ,CAG
 arey tujhe ye bakwas tweet karte huve koi kuch bolra nahin kitney pappu hai congress ,CAG
 kitna jalte ho yaar aap log kabhi humne bola hai kya modi ki beard jitna baad raha hai utna hi pappu ka dimag kaam ho raha ,CAG
 modi ji ka growth kuch jyada hi ho raha he gdp me nahi unki dadhi me ,NAG
 shashi ji tum to tharki ho na khud ke wife ko gayab karwa de wo kaun ,OAG
 this graph shows the mukt tre  ,NAG
 aage bhi 2008 ka batao nirav ko party ke baad loan mila wph bhi batao apki party ke lawyers ,NAG
 ise se tuje kya problem ,CAG
 modi ji ki dadhi badhti gayi aur congress india desh se sikudti ,NAG
 gdp ke baare mai woh samaja raha hai jisne aapni patni ko maar diya waah reh tharoor ,CAG
 who killed sunanda pushkar dada ,NAG
 sharminda hone ke liye teyar rihana rehna not ,CAG
 bhosdike shashi chodhu corrupted ,OAG
 beard ki length se unka pta chal rha hai jii ki vo kon hai ,NAG
 ek baar apne malik ka bhi naap liya hota malum to pd jata ki uska hi ki nahi bangkok jakar karta kya hi deta hi ki leta ,CAG
 bhai sahab wife ka murder kerna guts ka kaam aur aapko maharat haasil hai usmein ,CAG
 arey wo buddi heen admi sudhar apne paas abhi bohut time hai ,NAG
 kabhi hamara bhi size check kar lo tharki chacha ,OAG
 last wali pic shashi tharoor ne banai kya waise ab toh bata de kya de ke mara tha apni biwi ko ,CAG
 satak gaya buddha biwi ko mar i mean suicide ke baad ,OAG
 toh kya he looks like a king in any dress or style thodi angrezi bholne se raja ki khadar ayegi ,NAG
 dilemma toh yeh hai ji ki retweet kiya bhi jaaye ya ,NAG
 aapka wo yoga thik chal raha he na gujarat results ke liye ,NAG
 jo ye edited pics post kar rhe hai vo ye khud bhul chuke hai k vo bas congress party ki  ,CAG
 baki parties ke log hardwork kar rahe hain or incindia wale modi ji ke bal nap rahi hai bhai wa ,CAG
 to the point sir bhakto ki to jal gayi hogi give them burnol ,CAG
" abey , personality tere se kahi guna achhi hn duniya diwani hain uski ",CAG
 chutiya bhai chutiya shut up and get lost ,OAG
 per share market ka price badh raha ,NAG
 last wali pic thik se edit nhi hui ,NAG
 dekh lena is dadhi ka bhi sahi samay ane pe full credit lenge ye ,NAG
 suit kar raha hai modiji ko problem hai kya ,NAG
 daru pi ke kuch bhi sharir ke baal aur politics se kya ,CAG
 agar covid time pe tum satta me hote ab tab hindustan ko sab ko bikhari gulam bana det ,CAG
" ghantiya type ka sade hue dimagwala ,kachra type ka vyakti kaam ka na kaaj ka dushman ",OAG
 tharoor get well congress mein sab tumhare jaise hi bhare hai isliye congress ab hindustan se jaa rahi ,CAG
 hotel leela me kya hua tha uss ,NAG
 by the way ji ka naak indira dadi ji jaisa   ,NAG
 es charasi ke dimag me kitana gobar bhara hai isake tweet se pata chalta ,CAG
 rahul baba push up mar k aur niche fek denge nahi baba nahi ,CAG
 graph thoda aur niche gira to aap dikhne kahoge ,NAG
 ashleel landa ab photoshop bhi karne lag gaya ,OAG
 gavaar shampoo uncle pehle kuch google kar liya karo kamsekam teeth karne se pehle ,CAG
 suna nda ji ke case ka kya hua ,NAG
 congress ke tumhari keval angrezi hi achi dimag se to tum pure paidal ho tumhare tweet ,CAG
 ji sunanda pushkar ke murder case ka graph kaha pr atka pda hai ,NAG
 modi hai to mumkin hai yah jo aap grafik janata ko bata rahe hain apne gaand ka hal bhi bataiye ,OAG
 abey chuuu thaiye q2 kaa ab bataara kam se kam homework karna bey ,OAG
 lekin bande ne beard ko itna straight kaise kiya ,NAG
 ama cheecha tumko to beard aati he nahi isliye jalte ho ,NAG
 ye deko madarsa chap student ka talent madarse mein pada huva vyakti aisa hota hai madarsa chap chor ,OAG
 family party congress ka chamcha maansik rogi ho gya hai ,CAG
 kasam se yar pappu ko smart dikhane ke liye ache ache netao ko chutiya wali bakchodi karni padti hai ,OAG
 ha bhai tharki tharoor abhi kis ko apne jhase mein le raha hai ye sab graph dikha kar sanjukta basu ko ya wo wali ,CAG
 korach standard okke avam icu troll share cheyandi varunna thanik okke aarado vote cheyan pone ,NAG
 tu yehi sala teri khongress party ka graph pata chalega k tum logo ki aukat kya rahi hai a ,CAG
 lagta hai miakhalifa ke dose ka asar abhi tak hai ,CAG
 aa gaila aukaat par biwi k jaan ki qurbani v nhi bacha payi tumhari party ko nestanabut hone wale ho taiyaar ,CAG
 to kya ab gdp ke chakkar mein saaheb daadhi kata ,NAG
 ye congressi modi ji ke beard ke pichhe hain aur janta congress mukt india banane ke pichhe ,NAG
 malkin ka skirt bhi aise hi banate ,NAG
 cc inki koi badhi huyi daadi main pic banao bhai uncle ko modiji ke daadi se jalan ho rahi ,CAG
 abhi kaa to batao gdp kese uper jaa raha ,NAG
 aap meme banate rahiye udhar bjp sarkar banati rahe ,NAG
 chutiye log tum dadi napte ye tumhari puri party naap jayega ,CAG
 dumbledor ko gussa aa gaya to pata haina kya hota hai ,NAG
 malik kisi bangladeshi se photoshop ko training le rahe ho kya ,CAG
 shame on kab tak pappu mutra pee pee kar jeete rahoge kuch self respect name ki cheez hai ya ,OAG
 ek chaiwale ne kitne andhbhakt cup dhone k liye lagaye ,NAG
 isiliye rahul ka iq itna weak hai bade bujurg kehte hain sangat achhi honi chahiye jaise ho sangat vaise ho mangat ,CAG
 tera graph londiya baaji mein kya hai duniya janati hai gyan mat pel ,OAG
 late sunanda pushkar be like mujhe maarkar ,NAG
 photoshop kahan se sharam karo leela jao ,CAG
 oh tharkiroor par tera tharak ka graph toh kaafi upar chadd raha hai na tu bass wohi dekh bhosadike ,OAG
  bahi yaha corona nahi hai ,NAG
  congress gathbandhan jeet raha hai survey ,NAG
 no doubt wo ek aisa example set kar gay humsub ke liye jo sarahniya aur aapny uss legacy ko bohot ,NAG
 hello sir mujhe ap ki ek madad chahiye thi sir please main kuch bhi kar sakta hu ap ke company ke ,NAG
 sir mujhe aap se milna ,NAG
 tata nu ratan india ratan ,NAG
 sir mujhe b job dijiye na tata company ,NAG
 sir gaadi late diliver m bhi ,NAG
 abhinandan hame tata group par garv he ,NAG
 sir aap mere prerna hai aap se bohot kuch sikhne ko milta hai kismat ne mooka diya to jrur apse mulakat hoogi sir ,NAG
 ratan ji ko narendra ka namaskar sir yeh mera aapko first massage hai mujhe aapse ek support ki zarurat hai thank ,NAG
chutiyeye petrol rates kya hai ,OAG
padne se kya hoga jab jobs he nhi hoge aise itne log padh ke jobs mang rahe ,CAG
kyse pm ho yaar hum yuva itne din se bas baat karana chahte hai reforms chahte hain or ek pm ki itn ,NAG
piyushgoyal ek to vacancy kam upar se jo denge wo b time pe ,CAG
tum tho hitler se bhi yada kharab ho ,OAG
aur bhi mudde h uspe bhi discuss kijiye ,CAG
modi ji hum bebus students ki bhi suno ,NAG
sir master kar ke baithe hue hain ghar ,NAG
aare kha ho sir aap kewal baade baade baate karne ke liye hi aate ho uttar pradesh ki incident ke ,CAG
narendramodi respected atmnirbharta ka arth apke najariye se kya ,NAG
modiji kamakhya temple mein aam janta ko pereshan karte hai aam janta ko darshan kerne nahi deta hai ,CAG
"education kee baad kay hoga kee baad kay hoga loog 12 , kee baad job nhii pa rahe ha ",CAG
her gram me swasthya suraksha karayi ,NAG
modi ji reacharge maar ke do baad me apko troll bhi karna hai ,NAG
